,Animal By-Products,E-waste,Fiber bags,Food waste,Glass,Liquid Waste,Paper and carton,Plastics,Tins/cans
0,0,1,0,1,1,0,1,1,0
1,0,1,1,1,1,0,0,1,1
2,0,0,0,1,0,1,0,1,0
3,0,0,0,1,0,0,0,0,1
4,1,0,0,1,1,1,1,1,1
5,0,1,0,1,0,0,0,1,0
6,0,1,0,1,0,1,1,1,0
7,0,0,0,1,0,0,1,0,0
8,0,0,0,1,0,0,1,1,1
9,0,0,0,1,0,0,1,1,1
10,0,0,0,1,0,0,1,1,0
11,0,1,0,1,0,1,1,1,0
12,0,0,0,1,0,1,1,1,0
13,0,1,0,0,0,0,1,1,1
14,0,1,1,1,0,0,1,1,0
15,1,1,1,1,1,1,1,1,1
16,0,1,0,0,1,0,1,1,0
17,0,0,1,1,1,1,1,1,0
18,0,0,0,1,0,0,1,0,0
19,1,0,0,1,0,1,1,1,0
20,0,0,0,1,0,0,1,1,0
21,0,0,0,1,0,0,1,1,0
22,0,0,0,1,0,1,1,1,0
23,0,0,0,1,1,1,1,1,1
24,0,0,0,1,0,1,1,1,0
25,0,0,0,1,0,0,1,0,0
26,0,1,1,1,1,1,1,1,1
27,0,1,1,1,1,1,1,1,1
28,0,0,0,1,0,0,1,0,0
29,0,1,0,1,0,0,1,1,1
30,0,0,1,1,0,1,1,1,1
31,0,0,0,1,0,1,1,1,0
33,0,0,0,1,0,0,0,1,0
34,0,1,1,1,0,0,1,1,0
35,0,0,1,1,0,1,1,1,0
36,0,0,0,1,1,1,1,1,0
37,0,0,1,1,0,0,1,1,0
39,0,0,0,1,0,0,1,1,1
40,0,0,0,1,0,1,1,1,0
41,0,0,0,1,0,0,1,1,0
42,0,0,0,1,0,0,1,1,1
43,0,0,0,1,0,0,1,1,1
46,0,1,0,1,0,1,1,1,0
47,0,0,0,1,0,1,1,1,0
48,0,0,0,1,0,0,1,1,1
49,0,0,0,1,0,1,0,1,0
50,0,0,0,1,0,1,1,1,0
51,0,1,0,1,0,0,1,1,1
52,1,1,0,1,1,1,1,1,1
53,0,0,0,1,0,1,1,1,1
54,0,0,0,1,0,1,1,1,0
55,0,0,1,1,1,1,1,1,1
56,0,0,0,0,0,0,1,1,0
57,0,0,0,1,0,0,1,0,0
58,1,0,0,1,0,0,0,1,0
59,0,0,0,0,0,0,1,1,0
60,0,0,1,0,0,1,1,1,1
61,0,0,0,1,0,0,0,1,0
62,0,0,0,1,0,0,1,1,1
63,0,0,0,1,0,0,1,1,0
64,0,0,0,1,0,1,1,0,0
65,0,1,1,1,1,1,1,1,1
66,0,0,0,1,0,0,1,1,1
67,0,1,0,1,1,0,1,1,0
68,0,1,0,1,1,0,0,1,0
69,0,0,0,1,0,1,1,1,0
70,0,1,0,1,0,1,1,0,0
71,0,1,0,1,0,0,0,1,0
72,0,0,0,1,1,1,0,1,0
73,1,0,0,1,0,0,1,1,0
74,0,0,0,1,0,0,1,1,0
75,0,0,0,1,0,1,1,1,0
76,0,0,1,1,1,1,1,1,1
77,0,0,0,0,0,0,1,0,0
78,0,1,0,1,0,0,1,1,0
79,0,0,0,0,0,0,0,0,1
80,0,0,0,1,0,1,0,0,1
81,0,0,0,0,0,0,1,1,0
82,0,0,0,0,0,0,1,0,0
83,0,0,0,1,0,0,1,1,0
84,0,0,1,0,0,0,0,1,0
85,0,0,0,1,0,1,1,1,0
86,0,1,0,1,0,0,1,1,1
87,0,1,0,1,0,0,1,1,0
88,0,0,0,1,1,0,1,1,0
89,0,0,1,1,0,0,1,1,0
90,0,0,0,1,0,0,1,1,0
91,0,0,0,1,0,0,1,1,0
92,0,0,0,1,0,0,1,1,1
93,0,0,0,1,0,0,1,1,0
94,0,1,0,1,0,1,1,1,0
95,0,0,0,1,0,0,1,1,0
96,0,1,0,1,0,0,1,1,1
97,0,0,0,1,0,0,0,1,0
98,1,1,1,1,1,1,1,1,1
99,0,1,0,1,0,1,1,1,0
100,0,0,0,1,0,0,0,0,0
101,0,0,0,1,0,0,1,1,0
102,1,1,1,1,1,1,1,1,1
103,0,0,0,1,0,0,1,0,0
104,0,1,1,1,1,0,1,1,1
105,0,1,1,1,1,0,1,1,1
106,0,0,1,1,1,0,1,1,1
107,0,0,0,1,0,0,1,1,0
108,0,0,0,1,0,1,1,1,1
109,0,0,0,1,0,1,0,1,0
110,0,1,0,1,1,1,0,1,1
111,1,0,0,1,0,1,0,1,0
112,0,0,1,1,1,1,1,1,1
113,0,0,0,1,0,0,1,1,0
114,0,0,0,1,0,0,1,1,0
115,0,0,1,1,0,0,0,1,0
116,0,0,1,1,0,1,1,1,0
117,0,0,1,0,0,1,1,1,0
118,0,0,0,1,0,0,1,1,0
119,0,1,0,0,1,0,0,1,1
120,0,1,0,1,1,0,1,1,0
121,0,1,1,1,1,0,1,1,1
122,0,0,0,0,0,1,1,0,0
123,0,0,0,1,0,0,1,0,0
124,0,1,1,1,1,1,1,1,1
125,0,0,1,0,1,1,1,0,1
126,0,0,0,0,0,0,1,0,0
127,1,1,1,1,1,1,1,1,1
128,0,0,0,1,0,1,1,1,0
129,0,0,0,1,0,0,1,0,0
130,0,0,0,1,0,1,1,0,1
131,0,0,0,1,0,1,1,1,1
132,0,1,0,1,1,1,1,1,1
133,0,0,0,1,0,1,1,1,0
134,0,0,0,0,0,0,1,1,0
135,0,0,0,1,0,0,1,1,0
136,0,0,1,0,1,0,0,1,0
137,0,1,1,1,1,1,1,1,1
138,0,0,1,1,1,1,1,1,0
139,0,0,1,1,1,1,1,1,0
140,1,1,0,1,0,1,1,1,0
141,0,1,0,1,0,1,1,0,0
142,0,0,0,1,1,1,1,1,0
143,1,0,0,1,0,1,1,1,0
144,0,0,1,1,0,1,0,1,0
145,0,0,1,1,0,0,1,1,0
146,0,0,0,1,0,1,1,1,0
147,0,0,0,1,0,0,1,1,0
148,0,0,0,1,0,1,1,1,0
149,0,0,0,1,0,0,1,1,0
150,0,0,0,1,0,0,0,1,1
151,0,0,0,1,0,0,0,0,0
152,0,0,1,1,0,1,1,1,1
153,0,0,0,1,0,1,1,1,0
154,0,0,1,1,0,1,1,1,0
155,0,0,0,0,0,0,0,1,0
156,0,0,0,0,0,0,1,0,0
157,1,0,0,1,0,1,1,1,1
158,0,0,0,1,0,1,1,1,0
159,0,1,1,1,1,1,1,1,1
160,0,0,0,1,0,0,1,1,0
161,0,1,1,1,0,1,1,1,1
162,0,0,1,1,1,1,1,1,1
163,0,0,0,1,0,0,1,0,0
164,0,0,0,1,1,1,1,1,0
165,0,0,0,1,1,1,1,1,1
166,0,0,0,1,0,1,1,1,0
167,0,0,0,1,0,1,1,1,0
168,0,1,0,1,0,0,1,1,0
169,1,0,0,1,0,1,1,1,0
170,0,0,0,1,0,1,1,0,0
171,0,0,0,1,0,0,1,0,0
172,0,0,0,0,0,0,1,0,0
173,0,0,0,1,0,1,0,1,0
174,0,0,0,0,0,0,0,0,1
175,0,0,0,1,1,0,1,1,1
176,0,0,0,1,0,0,1,1,0
177,0,1,1,1,1,1,1,1,1
178,0,1,0,1,0,1,1,1,0
179,0,1,0,1,0,1,1,1,0
180,1,0,0,1,0,1,1,1,1
181,0,0,0,1,0,0,1,0,0
